ID	LABEL	alternative term	IEDB alternative term	has cross-reference	logical type	parent	textual definition	logical annotation goal	derives from organism	derives from cell	derives from tissue	having disease	unified axiom
ID	A rdfs:label	A alternative term SPLIT=|	A IEDB alternative term	A oboInOwl:hasDbXref SPLIT=|	CLASS_TYPE	C %	AL definition@en SPLIT=|						C %
ICF:0000001	NB-4 cell	NB-4|NB.4|NB4	NB-4 cell	RRID:CVCL_0005|CLO:0007947	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the bone marrow of subjects with acute promyelocytic leukemia.	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'acute promyelocytic leukemia'))))))	Homo sapiens	B cell	bone marrow	acute promyelocytic leukemia	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'acute promyelocytic leukemia'))))))
ICF:0000002	NALM-6 cell	NALM-6	NALM-6 cell	RRID:CVCL_0092 |CLO:0007938	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with B-cell adult acute lymphocytic leukemia.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-cell adult acute lymphocytic leukemia'))))))	Homo sapiens	B cell	blood	B-cell adult acute lymphocytic leukemia	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-cell adult acute lymphocytic leukemia'))))))
ICF:0000003	697 cell	697	697 cell	RRID:CVCL_0079|CLO:0001008	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the bone marrow of subjects with B-lymphoblastic leukemia/lymphoma.	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-lymphoblastic leukemia/lymphoma'))))))	Homo sapiens	B cell	bone marrow	B-lymphoblastic leukemia/lymphoma	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-lymphoblastic leukemia/lymphoma'))))))
ICF:0000004	SUP-B15 cell	CRL-1929|SUP-B15	SUP-B15 cell	RRID:CVCL_0103|CLO:0009161	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the bone marrow of subjects with B-lymphoblastic leukemia/lymphoma.	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-lymphoblastic leukemia/lymphoma'))))))	Homo sapiens	B cell	bone marrow	B-lymphoblastic leukemia/lymphoma	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-lymphoblastic leukemia/lymphoma'))))))
ICF:0000005	Daudi cell	Daudi|DAUDI|NK-10A|NK-10a|NK 10a|NK10a|N|GM03190|GM3190|GM03190A|GM17346|RCB1640	Daudi cell	RRID:CVCL_0008|CLO:0002708	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with Burkitt lymphoma.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))	Homo sapiens	B cell	blood	Burkitt lymphoma	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))
ICF:0000006	DG-75 cell	DG-75	DG-75 cell	RRID:CVCL_0244|CLO:0002767	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the pleural effusion of subjects with Burkitt lymphoma.	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))	Homo sapiens	B cell	pleural effusion	Burkitt lymphoma	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))
ICF:0000007	NAMALWA cell	NAMALWA|Namalwa IV|Namalva|NAMALVA|NWA|NK62a	NAMALWA cell	RRID:CVCL_0067|CLO:0007939	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with Burkitt lymphoma.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))	Homo sapiens	B cell	blood	Burkitt lymphoma	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))
ICF:0000008	K 562 cell	GM05372|GM05372E|K 562|K-562|K.562|K562|KO|K562|K.562|RCB1635	K 562 cell	RRID:CVCL_0004|CLO:0007050	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the pleural effusion of subjects with chronic myeloid leukemia.	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'chronic myeloid leukemia'))))))	Homo sapiens	B cell	pleural effusion	chronic myeloid leukemia	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'chronic myeloid leukemia'))))))
ICF:0000009	DB cell	DB	DB cell	RRID:CVCL_1168|CLO:0002709	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the ascitic fluid of subjects with diffuse large B-cell lymphoma.	'derives from' some ('B cell' and ('part of' some ('ascitic fluid' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))	Homo sapiens	B cell	ascitic fluid	diffuse large B-cell lymphoma	'derives from' some ('B cell' and ('part of' some ('ascitic fluid' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))
ICF:0000010	DOHH2 cell	DOHH2|DoHH-2|DOHH-2	DoHH2 cell	RRID:CVCL_1179|CLO:0002805	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the pleural effusion of subjects with diffuse large B-cell lymphoma.	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))	Homo sapiens	B cell	pleural effusion	diffuse large B-cell lymphoma	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))
ICF:0000011	HBL-1 cell	HBL1	HBL-1 cell	RRID:CVCL_4213|CLO:0037256	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the pleural effusion of subjects with diffuse large B-cell lymphoma.	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))	Homo sapiens	B cell	pleural effusion	diffuse large B-cell lymphoma	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))
ICF:0000012	SU-DHL-4 cell	SU-DHL-4|SUDHL4|Sudhl4|SUDHL-4|Sudhl-4|SuDHL 4|SUD-4|SUD4|SU4|Stanford University-Diffuse Histiocytic Lymphoma-4|DHL-4|DHL4	SU-DHL-4 cell	RRID:CVCL_0539|CLO:0037061	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the peritoneal fluid of subjects with diffuse large B-cell lymphoma.	'derives from' some ('B cell' and ('part of' some ('peritoneal fluid' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))	Homo sapiens	B cell	peritoneal fluid	diffuse large B-cell lymphoma	'derives from' some ('B cell' and ('part of' some ('peritoneal fluid' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))
ICF:0000013	SU-DHL-6 cell	SU-DHL-6	SU-DHL-6 cell	RRID:CVCL_2206|CLO:0037063	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the peritoneal fluid of subjects with diffuse large B-cell lymphoma.	'derives from' some ('B cell' and ('part of' some ('peritoneal fluid' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))	Homo sapiens	B cell	peritoneal fluid	diffuse large B-cell lymphoma	'derives from' some ('B cell' and ('part of' some ('peritoneal fluid' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))
ICF:0000014	TMD8 cell	TMD-8|Tokyo Medical and Dental university 8	TMD8 cell	RRID:CVCL_A442|CLO:0037272	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the bone marrow of subjects with diffuse large B-cell lymphoma.	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))	Homo sapiens	B cell	bone marrow	diffuse large B-cell lymphoma	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))
ICF:0000015	WSU-DLCL2 cell	WSU-DLCL2|WSUDLCL2	WSU-DLCL2 cell	RRID:CVCL_1902|CLO:0037068	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the pleural effusion of subjects with diffuse large B-cell lymphoma.	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))	Homo sapiens	B cell	pleural effusion	diffuse large B-cell lymphoma	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))
ICF:0000016	U-698-M cell	U-698 M|U-698M|U698-M|U698M|U-698|U698	U-698-M cell	RRID:CVCL_0017|CLO:0009462	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the tonsil of subjects with lymphoblastic lymphoma.	'derives from' some ('B cell' and ('part of' some ('tonsil' and ('part of' some ('Homo sapiens' and ('has disease' some 'lymphoblastic lymphoma'))))))	Homo sapiens	B cell	tonsil	lymphoblastic lymphoma	'derives from' some ('B cell' and ('part of' some ('tonsil' and ('part of' some ('Homo sapiens' and ('has disease' some 'lymphoblastic lymphoma'))))))
ICF:0000017	JJN-3 cell	JJN-3	JJN-3 cell	RRID:CVCL_2078|CLO:0037173	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the bone marrow of subjects with multiple myeloma.	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))	Homo sapiens	B cell	bone marrow	multiple myeloma	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))
ICF:0000018	MM.1S cell	MM.1S|MM1-S|MM-1S|MM1S	MM.1S cell	RRID:CVCL_8792|CLO:0037203	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with multiple myeloma.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))	Homo sapiens	B cell	blood	multiple myeloma	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))
ICF:0000019	OPM-2 cell	OPM-2	OPM-2 cell	RRID:CVCL_1625|CLO:0008269	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with multiple myeloma.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))	Homo sapiens	B cell	blood	multiple myeloma	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))
ICF:0000020	RPMI 8226 cell	RPMI.8226|RPMI8226|RPMI no. 8226|RPMI no 8226|RPMI #8226|8226|RPMI 8226/S|RPMI-8226S|RPMI8226/S|8226/S|Roswell Park Memorial Institute 8226|GM02132|GM2132|GM 2132|GM02132C|Simpson	RPMI 8226 cell	RRID:CVCL_0014|CLO:0008873	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with multiple myeloma.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))	Homo sapiens	B cell	blood	multiple myeloma	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))
ICF:0000021	U266B1 cell	U266B1	U266B1 cell	RRID:CVCL_0566|CLO:0009458	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with multiple myeloma.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))	Homo sapiens	B cell	blood	multiple myeloma	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'multiple myeloma'))))))
ICF:0000022	NCI-H929 cell	NCI H929|NCIH929|H929|H-929	NCI-H929 cell	RRID:CVCL_1600|CLO:0008127	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the pleural effusion of subjects with plasmacytoma.	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'plasmacytoma'))))))	Homo sapiens	B cell	pleural effusion	plasmacytoma	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'plasmacytoma'))))))
ICF:0000023	MOPC 315 cell	MOPC 315|MOPC315	MOPC 315 cell	RRID:CVCL_2616|CLO:0007830	subclass	immortal mouse B cell line cell	An immortal mouse B cell line cell originating from the hypodermis of subjects with plasmacytoma.	'derives from' some ('B cell' and ('part of' some ('hypodermis' and ('part of' some ('Mus musculus' and ('has disease' some 'plasmacytoma'))))))	Mus musculus	B cell	hypodermis	plasmacytoma	'derives from' some ('B cell' and ('part of' some ('hypodermis' and ('part of' some ('Mus musculus' and ('has disease' some 'plasmacytoma'))))))
ICF:0000024	GM08600 cell	GM08600|31227 ABO|ABUC|ABU|WT9|GM08600	31227ABO cell	RRID:CVCL_E443|CLO:0010594	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens)))))	Homo sapiens	B cell	blood		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some 'Homo sapiens'))))
ICF:0000025	GM08605 cell	GM08605|MOU	GM08605 cell	RRID:CVCL_E782|CLO:0010607	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens)))))	Homo sapiens	B cell	blood		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some 'Homo sapiens'))))
ICF:0000026	HEV0041 cell	HEV0041	HEV0041 cell	RRID:CVCL_T084|CLO:0051228	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens)))))	Homo sapiens	B cell	blood		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some 'Homo sapiens'))))
ICF:0000027	HMy2.CIR cell	Hmy.2 CIR|HMy2.CIR|C1R	HMy2.CIR cell	RRID:CVCL_3714|CLO:0003787	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens)))))	Homo sapiens	B cell	blood		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some 'Homo sapiens'))))
ICF:0000028	HSC0107 cell	COLO205|HSC0107	HSC0107 cell	RRID:CVCL_F402|CLO:0051333	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens)))))	Homo sapiens	B cell	blood		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some 'Homo sapiens'))))
ICF:0000029	JY cell	JY-S	JY cell	RRID:CVCL_0108|CLO:0037202	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens)))))	Homo sapiens	B cell	blood		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some 'Homo sapiens'))))
ICF:0000030	T2 (174 x CEM.T2) cell	T2 (174 x CEM.T2)|T2(174 x CEM.T2)|174xCEM.T2|CEMx721.174.T2|RCB1932 cell	T2 cell	RRID:CVCL_2211|CLO:0009242	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens)))))	Homo sapiens	B cell	blood		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some 'Homo sapiens'))))
ICF:0000031	immortal Rhesus macaque epithelial cell line cell				equivalent	immortal epithelial cell line cell	An immortal epithelial cell line cell originating from a Rhesus macaque.		Macaca mulatta				'derives from' some ('cell' and ('part of' some 'Macaca mulatta'))
ICF:0000032	5637 cell	5637	5637 cell	RRID:CVCL_0126|CLO:0001421	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the urinary bladder of subjects with bladder carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('urinary bladder' and ('part of' some ('Homo sapiens' and ('has disease' some 'bladder carcinoma'))))))	Homo sapiens	epithelial cell	urinary bladder	bladder carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('urinary bladder' and ('part of' some ('Homo sapiens' and ('has disease' some 'bladder carcinoma'))))))
ICF:0000033	HT-1197 cell	HT 1197| HT1197| HT 1197.T|HT-1197	HT1197 cell	RRID:CVCL_1291|CLO:0004278	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the urinary bladder of subjects with bladder carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('urinary bladder' and ('part of' some ('Homo sapiens' and ('has disease' some 'bladder carcinoma'))))))	Homo sapiens	epithelial cell	urinary bladder	bladder carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('urinary bladder' and ('part of' some ('Homo sapiens' and ('has disease' some 'bladder carcinoma'))))))
ICF:0000034	LB831-BLC cell	LB831BLC| LB831|LB831-BLC	LB831-BLC cell	RRID:CVCL_1370|CLO:0037159	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the urinary bladder of subjects with bladder carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('urinary bladder' and ('part of' some ('Homo sapiens' and ('has disease' some 'bladder carcinoma'))))))	Homo sapiens	epithelial cell	urinary bladder	bladder carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('urinary bladder' and ('part of' some ('Homo sapiens' and ('has disease' some 'bladder carcinoma'))))))
ICF:0000035	T24 cell	T-24| T 24|T24	T24 cell	RRID:CVCL_0554|CLO:0009245	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the urinary bladder of subjects with bladder carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('urinary bladder' and ('part of' some ('Homo sapiens' and ('has disease' some 'bladder carcinoma'))))))	Homo sapiens	epithelial cell	urinary bladder	bladder carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('urinary bladder' and ('part of' some ('Homo sapiens' and ('has disease' some 'bladder carcinoma'))))))
ICF:0000036	CAL-120 cell	CAL 120|CAL120|CAL-120	CAL-120 cell	RRID:CVCL_1104|CLO:0002179	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the pleural effusion of subjects with breast adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))	Homo sapiens	epithelial cell	pleural effusion	breast adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))
ICF:0000037	AU565 cell	AU565|AU-565|AU 565	AU565 cell	RRID:CVCL_1074|CLO:0001769	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the pleural effusion of subjects with breast adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))	Homo sapiens	epithelial cell	pleural effusion	breast adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))
ICF:0000038	HCC1428 cell	HCC-1428| Hamon Cancer Center 1428|HCC1428	HCC1428 cell	RRID:CVCL_1252|CLO:0003637	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the pleural effusion of subjects with breast adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))	Homo sapiens	epithelial cell	pleural effusion	breast adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))
ICF:0000039	MDA-MB-231 cell	MDA_MB_231| MDA-MB 231| MDA.MB.231| MDA MB 231| MDA MB231| MDA Mb231| MDA-MB231| MDAMB-231| MDAMB231| MDA-231| MDA-231P| MDA231| MDA231-BRE| MB231| MD Anderson-Metastatic Breast-231|MDA-MB-231	MDA-MB-231 cell	RRID:CVCL_0062|CLO:0007634	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the pleural effusion of subjects with breast adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))	Homo sapiens	epithelial cell	pleural effusion	breast adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))
ICF:0000040	MDA-MB-361 cell	MDA-MB 361| MDA MB 361| MDA-MB361| MDAMB361| MDA-361| MDA361| MB361| MD Anderson-Metastatic Breast-361|MDA-MB-361	MDA-MB-361 cell	RRID:CVCL_0620|CLO:0007636	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the brain of subjects with breast adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('brain' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))	Homo sapiens	epithelial cell	brain	breast adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('brain' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))
ICF:0000041	MDA-MB-468 cell	MDA-MB 468| MDA-MB468| MDAMB468| MDA-468| MDA468| MB468| MD Anderson-Metastatic Breast-468|MDA-MB-468	MDA-MB-468 cell	RRID:CVCL_0419|CLO:0007641	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the pleural effusion of subjects with breast adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))	Homo sapiens	epithelial cell	pleural effusion	breast adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))
ICF:0000042	SK-BR-3 cell	SK-Br-3| Sk-Br-3| SK BR 03| SKBR-3| SKBr-3| SK-BR3| SKBr3| SkBr3| SKBR3|SK-BR-3	SK-BR-3 cell	RRID:CVCL_0033|CLO:0009034	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the pleural effusion of subjects with breast adenocarcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))	Homo sapiens	epithelial cell	pleural effusion	breast adenocarcinoma	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast adenocarcinoma'))))))
ICF:0000043	4T1 cell	4T1|4T1-A|4T1.0|4T1/WT	4T1 cell	RRID:CVCL_0125|CLO:0001401	subclass	immortal mouse epithelial cell line cell	An immortal mouse epithelial cell line cell originating from the mammary gland of subjects with breast cancer.	'derives from' some ('epithelial cell' and ('part of' some ('mammary gland' and ('part of' some ('Mus musculus' and ('has disease' some 'breast cancer'))))))	Mus musculus	epithelial cell	mammary gland	breast cancer	'derives from' some ('epithelial cell' and ('part of' some ('mammary gland' and ('part of' some ('Mus musculus' and ('has disease' some 'breast cancer'))))))
ICF:0000044	BT-20 cell	BT-20|BT20|BT 20	BT-20 cell	RRID:CVCL_0178|CLO:0002041	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the breast of subjects with breast carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))	Homo sapiens	epithelial cell	breast	breast carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))
ICF:0000045	BT-474 cell	BT-474|Bt-474|BT474	BT-474 cell	RRID:CVCL_0179|CLO:0002042	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the breast of subjects with breast carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))	Homo sapiens	epithelial cell	breast	breast carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))
ICF:0000046	BT-483 cell	BT-483|BT483	BT-483 cell	RRID:CVCL_2319|CLO:0002043	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the breast of subjects with breast carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))	Homo sapiens	epithelial cell	breast	breast carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))
ICF:0000047	BT-549 cell	BT-549|BT 549|BT.549|BT549	BT-549 cell	RRID:CVCL_1092|CLO:0002044	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the breast of subjects with breast carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))	Homo sapiens	epithelial cell	breast	breast carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('breast' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))
ICF:0000048	EFM-192A cell	EFM-192A	EFM192A cell	RRID:CVCL_1812|CLO:0002889	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the pleural effusion of subjects with breast carcinoma.	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))	Homo sapiens	epithelial cell	pleural effusion	breast carcinoma	'derives from' some ('epithelial cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'breast carcinoma'))))))
