ID	LABEL	alternative term	IEDB alternative term	has cross-reference	logical type	parent	textual definition	logical annotation goal	derives from organism	derives from cell	derives from tissue	having disease	unified axiom
ICF:0000176	MeT-5A cell	MeT 5A| MeT5A| Met5A| MET5A| Mesothelial cells transfected with pRSV-T 5A|MeT-5A	MeT-5A cell	RRID:CVCL_3749|CLO:0007680	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the lung.	'derives from' some ('epithelial cell' and ('part of' some ('lung' and ('part of' some ('Homo sapiens')))))	Homo sapiens	epithelial cell	lung		'derives from' some ('epithelial cell' and ('part of' some ('lung' and ('part of' some 'Homo sapiens'))))
ICF:0000177	NRK cell	Normal Rat Kidney|NRK	NRK cell	RRID:CVCL_3758|CLO:0008195	subclass	immortal rat epithelial cell line cell	An immortal rat epithelial cell line cell originating from the kidney.	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Rattus norvegicus')))))	Rattus norvegicus	epithelial cell	kidney		'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some 'Rattus norvegicus'))))
ICF:0000178	RCB2202 cell	Hek293T| HEK-293T| HEK 293T| HEK-293-T| HEK 293 T| 293-T| 293 T| 293T| Human Embryonic Kidney 293T| 293tsA1609neo|293T|RCB2202	HEK293T cell	RRID: CVCL_0063|CLO:0050894	subclass	immortal human epithelial cell line cell	An immortal human epithelial cell line cell originating from the kidney.	'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some ('Homo sapiens')))))	Homo sapiens	epithelial cell	kidney		'derives from' some ('epithelial cell' and ('part of' some ('kidney' and ('part of' some 'Homo sapiens'))))
ICF:0000179	TC-1 cell	TC-1[JHU-1]| Tissue Culture-1|TC-1	TC-1 cell	RRID:CVCL_4699|CLO:0009279	subclass	immortal mouse epithelial cell line cell	An immortal mouse epithelial cell line cell originating from the lung.	'derives from' some ('epithelial cell' and ('part of' some ('lung' and ('part of' some ('Mus musculus')))))	Mus musculus	epithelial cell	lung		'derives from' some ('epithelial cell' and ('part of' some ('lung' and ('part of' some 'Mus musculus'))))
ICF:0000180	TRAMP-C1 cell	TRAMP-C1	TRAMP-C1 cell	RRID:CVCL_3614|CLO:0009401	subclass	immortal mouse epithelial cell line cell	An immortal mouse epithelial cell line cell originating from the prostate gland.	'derives from' some ('epithelial cell' and ('part of' some ('prostate gland' and ('part of' some ('Mus musculus')))))	Mus musculus	epithelial cell	prostate gland		'derives from' some ('epithelial cell' and ('part of' some ('prostate gland' and ('part of' some 'Mus musculus'))))
ICF:0000181	TRAMP-C2 cell	TRAMP C2|TRAMP-C2	TRAMP-C2 cell	RRID:CVCL_3615|CLO:0009402	subclass	immortal mouse epithelial cell line cell	An immortal mouse epithelial cell line cell originating from the prostate gland.	'derives from' some ('epithelial cell' and ('part of' some ('prostate gland' and ('part of' some ('Mus musculus')))))	Mus musculus	epithelial cell	prostate gland		'derives from' some ('epithelial cell' and ('part of' some ('prostate gland' and ('part of' some 'Mus musculus'))))
ICF:0000182	immortal blood specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell originating from a blood specimen.				blood		'derives from' some ('cell' and ('part of' some 'blood'))
ICF:0000183	immortal pleural effusion specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell originating from a pleural effusion specimen.				pleural effusion		'derives from' some ('cell' and ('part of' some 'pleural effusion'))
ICF:0000184	immortal lung specimen-derived cell line cell				equivalent	immortal cell line cell	An immortal cell line cell originating from a lung specimen.				lung		'derives from' some ('cell' and ('part of' some 'lung'))
ICF:0000185	immortal colon adenocarcinoma cell line cell				equivalent	immortal cell line cell	An immortal cell line cell derived from a subject with colon adenocarcinoma.					colon adenocarcinoma	'derives from' some ('cell' and ('part of' some ('organism' and ('has disease' some 'colon adenocarcinoma'))))
